Meetjaar,WaterbeheerderCode,WaterbeheerderNaam,Namespace,Identificatie,MeetobjectCode,Omschrijving,GeometriePuntX_RD,GeometriePuntY_RD,KRWwatertypeCode,KRWwatertypeOmschrijving,WatergangCategorieCode,WatergangCategorieOmschrijving,HoortbijGeoobjectIdentificatie,Wegingsfactor,LigtInGeoobjectIdentificatie,PublicatieDatumTijd,cluster_id,cluster_prob,relevant,Naam,Grootte,Eerste aanplant,distance_m
2023,27,Waterschap De Dommel,NL27,E24-1,NL27_E24-1,Keersop_BOVENSTROOMS HEIJERDIJK WESTERHOVEN,155023.0,370548.0,R4,"Permanente langzaam stromende bovenloop op zand (vervalt per 2022, gebruik liever R4a of b)",,,NL27_240036,1.0,,2024-06-21T11:04:07+02:00,79,0.23722961177587,False,,,,
2023,27,Waterschap De Dommel,NL27,E24-2,NL27_E24-2,Keersop_BIJ WATERPARK/WATERTAFEL BERGEIJK,154088.0,369901.0,R4,"Permanente langzaam stromende bovenloop op zand (vervalt per 2022, gebruik liever R4a of b)",,,NL27_240036,1.0,,2024-06-21T11:04:07+02:00,79,0.139454470769568,False,,,,
2023,27,Waterschap De Dommel,NL27,E24-3,NL27_E24-3,"Keersop_STRAFPUTJE VLIETERDIJK, BERGEIJK",152929.0,369018.0,R4,"Permanente langzaam stromende bovenloop op zand (vervalt per 2022, gebruik liever R4a of b)",,,NL27_240036,1.0,,2024-06-21T11:04:07+02:00,51,1.0,False,,,,
2023,27,Waterschap De Dommel,NL27,E24-4,NL27_E24-4,Keersop_BREDASEDIJK BERGEIJK,152305.0,367054.0,R4,"Permanente langzaam stromende bovenloop op zand (vervalt per 2022, gebruik liever R4a of b)",,,NL27_240036,1.0,,2024-06-21T11:04:07+02:00,53,1.0,False,,,,
2023,27,Waterschap De Dommel,NL27,E24-5,NL27_E24-5,Keersop_TRAJECT KROMHURKEN BERGEIJK,152772.0,368219.0,R4,"Permanente langzaam stromende bovenloop op zand (vervalt per 2022, gebruik liever R4a of b)",,,NL27_240036,1.0,,2024-06-21T11:04:07+02:00,51,1.0,False,,,,
2023,27,Waterschap De Dommel,NL27,E25-1,NL27_E25-1,Beekloop_VANAF BORKELSEDIJK TOT MONDING KEERSOP WESTERHOVEN,156201.0,371132.0,R4,"Permanente langzaam stromende bovenloop op zand (vervalt per 2022, gebruik liever R4a of b)",,,NL27_240036,1.0,,2024-06-21T11:04:07+02:00,79,1.0,False,,,,
2023,27,Waterschap De Dommel,NL27,E25-3,NL27_E25-3,Beekloop_TRAJECT BOVENSTROOMS 'T SCHUT TE BERGEIJK,155530.0,367499.0,R4,"Permanente langzaam stromende bovenloop op zand (vervalt per 2022, gebruik liever R4a of b)",,,NL27_240036,1.0,,2024-06-21T11:04:07+02:00,52,0.5885266090852233,False,,,,
2023,27,Waterschap De Dommel,NL27,E25-4,NL27_E25-4,"Beekloop_TRAJECT BENEDENSTROOMS DE BEEKEN, WESTERHOVEN/BERGEIJK",155922.0,370272.0,R4,"Permanente langzaam stromende bovenloop op zand (vervalt per 2022, gebruik liever R4a of b)",,,NL27_240036,1.0,,2024-06-21T11:04:07+02:00,79,0.2043582255430614,False,,,,
2023,27,Waterschap De Dommel,NL27,E25-5,NL27_E25-5,Beekloop_BENEDENSTROOMS STUW 'T SCHUT IN HET BOS,155520.0,368267.0,R4,"Permanente langzaam stromende bovenloop op zand (vervalt per 2022, gebruik liever R4a of b)",,,NL27_240036,1.0,,2024-06-21T11:04:07+02:00,52,0.5885266090852233,False,,,,
2023,27,Waterschap De Dommel,NL27,E26-1,NL27_E26-1,Beekloop_BENEDENSTROOMS STUW DE MAAIJ BERGEIJK,155143.0,366316.0,R4,"Permanente langzaam stromende bovenloop op zand (vervalt per 2022, gebruik liever R4a of b)",,,NL27_240036,1.0,,2024-06-21T11:04:07+02:00,52,1.0,False,,,,
