titel,grondsoort,grondwaterstand,Biodiversiteitsindex,startjaar,leeftijd plot,oppervlak,Datum,Abies alba,Acer,Achillea,Achillea millefolium,Aconitum,Aegopodium,Agrimonia,Agrostemma,Agrostis,Agrostis capillaris,Agrostis gigantea,Ajuga reptans,Alchemilla,Alisma gramineum,Alliaria,Alliaria petiolata,Allium schoenoprasum,Allium scorodoprasum,Allium ursinum,Alopecurus geniculatus,Alopecurus pratensis,Althaea,Anethum,Angelica,Angelica archangelica,Anthemis arvensis,Anthoxanthum,Anthoxanthum aristatum,Anthoxanthum odoratum,Anthriscus sylvestris,Apera,Aphanes,Arabidopsis,Arctium,Arctium lappa,Arctium minus,Arenaria,Armoracia,Arrhenatherum,Arrhenatherum elatius,Artemisia,Artemisia absinthium,Artemisia vulgaris,Aster novi-belgii,Atriplex,Avena fatua,Barbarea,Bellis,Betula,Brassica nigra,Bromus,Bromus hordeaceus,Bromus hordeaceus subsp. hordeaceus,Bromus secalinus,Bromus sterilis,Calamagrostis epigejos,Calystegia sepium,Carduus,Carduus crispus,Carex hirta,Carex ovalis,Carex riparia,Centaurea cyanus,Centaurea jacea,Cerastium,Cerastium fontanum subsp. vulgare,Cerastium glomeratum,Chaerophyllum temulum,Chamerion,Chelidonium,Chelidonium majus,Chenopodium bonus-henricus,Cichorium,Cichorium intybus,Cirsium arvense,Cirsium eriophorum,Cirsium oleraceum,Cirsium palustre,Cirsium vulgare,Claytonia,Claytonia perfoliata,Convolvulus arvensis,Crambe maritima,Crepis,Crepis biennis,Crepis capillaris,Cuscuta,Dactylis,Dactylis glomerata,Daucus carota,Deschampsia cespitosa,Deschampsia flexuosa,Digitalis purpurea,Dipsacus fullonum,Dryopteris carthusiana,Echinochloa,Elymus,Elymus repens,Epilobium,Epilobium ciliatum,Epilobium hirsutum,Epilobium montanum,Epilobium parviflorum,Epilobium tetragonum,Epilobium tetragonum subsp. tetrago,Equisetum arvense,Erigeron canadensis,Erodium cicutarium subsp. cicutariu,Eupatorium,Eupatorium cannabinum,Festuca arundinacea,Festuca rubra,Filago vulgaris,Foeniculum,Fragaria,Fragaria vesca,Galeobdolon luteum - cultivar 'Florentinum’,Galium aparine,Galium mollugo,Galium odoratum,Galium saxatile,Geranium,Geranium dissectum,Geranium molle,Geranium pratense,Geranium pusillum,Geranium pyrenaicum,Geranium robertianum,Geum rivale,Geum urbanum,Glechoma,Glechoma hederacea,Hedera,Hemerocallis,Heracleum,Heracleum sphondylium,Herniaria glabra,Hesperis,Hieracium aurantiacum,Holcus,Holcus lanatus,Hordeum,Hypericum maculatum,Hypericum perforatum,Hypochaeris,Hypochaeris radicata,Ilex,Iris pseudacorus,Juncus bufonius,Juncus conglomeratus,Juncus effusus,Lamium album,Lamium purpureum var. purpureum,Lapsana,Lapsana communis,Lemna minor,Leontodon autumnalis,Leucanthemum,Leucanthemum vulgare,Leymus,Lolium,Lolium perenne,Lolium x hybridum,Lonicera periclymenum,Lotus,Lotus corniculatus subsp. cornicula,Lotus uliginosus,Lunaria annua,Lupinus angustifolius,Lychnis flos-cuculi,Lycopus europaeus,Lysimachia,Lysimachia nummularia,Lysimachia vulgaris,Lythrum,Lythrum salicaria,Malva,Matricaria maritima,Matteuccia,Medicago sativa,Medicago x varia,Melissa,Mentha,Mentha aquatica,Mentha spicata,Mentha x niliaca,Mentha x piperita,Mercurialis annua,Myosotis,Myosotis arvensis,Oenothera,Oenothera biennis,Oenothera erythrosepala,Origanum vulgare,Oxalis,Oxycoccus macrocarpos,Papaver dubium,Papaver rhoeas,Pastinaca,Pastinaca sativa,Petasites japonicus,Phacelia,Phalaris arundinacea,Phleum pratense subsp. bertolonii,Phleum pratense subsp. pratense,Phragmites,Plantago,Plantago lanceolata,Plantago major,Plantago major subsp. major,Plantago media,Poa,Poa annua,Poa pratensis,Poa trivialis,Polygonum amphibium,Polygonum aviculare,Polygonum persicaria,Populus,Potentilla indica,Potentilla reptans,Primula,Primula elatior,Prunella vulgaris,Prunus cerasifera,Prunus domestica subsp. domestica,Prunus serotina,Pseudotsuga,Ranunculus,Ranunculus acris,Ranunculus arvensis,Ranunculus repens,Rhamnus,Rheum,Rhinanthus angustifolius,Rosmarinus,Rubus,Rubus caesius,Rubus idaeus,Rumex,Rumex acetosa,Rumex acetosella,Rumex conglomeratus,Rumex crispus,Rumex obtusifolius,Rumex obtusifolius subsp. obtusifol,Salix,Salix alba,Salvia officinalis,Sanguisorba minor,Scrophularia nodosa,Secale,Sedum telephium,Senecio jacobaea,Senecio jacobaea subsp. dunensis,Senecio jacobaea subsp. jacobaea,Silene dioica,Sinapis,Solanum dulcamara,Solidago canadensis,Solidago gigantea,Sonchus,Sonchus arvensis var. arvensis,Sonchus asper,Sonchus oleraceus,Sorbus,Sorbus aucuparia,Spergula arvensis,Stachys officinalis,Stellaria neglecta,Symphytum,Symphytum officinale,Tanacetum vulgare,Taraxacum,Taraxacum nordstedtii,Taraxacum officinale,Thalictrum aquilegifolium,Tragopogon pratensis subsp. pratens,Trifolium dubium,Trifolium pratense,Trifolium repens,Triticum aestivum,Tussilago farfara,Urtica,Urtica dioica,Valeriana,Valeriana officinalis,Verbascum thapsus,Verbena officinalis,Veronica,Veronica agrestis,Veronica arvensis,Veronica persica,Vicia,Vicia hirsuta,Vicia lathyroides,Vicia sativa subsp. sativa,Vinca,Viola arvensis,Viola canina,bestemming,dichtsbijzijnde natuur,plot,uitgangssituatie
Opgave: 12-jun-2024 – Kweepeer bij: Voedselbos te Glimmen,Zandgrond,60-120 centimeter onder het maaiveld,0.78,2018,1,27500,20240612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zeldzaam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zeldzaam,,,,,,,,,,,,,,,,,,,Zeldzaam,,Schaars,,,,,,,,,,,Zeldzaam,,,,,,,Zeldzaam,,,,,,,,,,,,Talrijk,,,,,,,,,,,,,,,,,,,,,,,Schaars,,,,,,,,Zeldzaam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zeldzaam,,,,,,,,,,,,,,,,,,Schaars,,,,,,,,,,,,,,,,,,,,,,Talrijk,,,,,,,,,,,,,,,,,,,,,,,,,,,Schaars,,,,,,,,,,,,,,,,,,,,Talrijk,,,,,,,,,Zeldzaam,,,,,,,,"['Agrarisch', '(Archeologische of landschappelijke) waarde']",Het voedselbos grenst aan natuur,[835],Boomkwekerij 
Opgave: 30-jun-2024 – Perzik bij: Voedselbos te Glimmen,Zandgrond,60-120 centimeter onder het maaiveld,0.85,2018,1,27500,20240630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zeldzaam,,Schaars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Schaars,,,,,,,,,Schaars,,,,,,,,,,,,,,,,,,,,,Talrijk,,,,,,,,,,,,,Schaars,,,,,,,,,,Talrijk,,,,,,,,,,,,Zeldzaam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zeldzaam,,,,,,,,,,,,,,,Zeldzaam,,,,,,,,,,,,,,,,,,Talrijk,,,,,,,,,,,,,,,,,,,,,,,,Talrijk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Talrijk,,,,,,,,,,,,,,,,"['Agrarisch', '(Archeologische of landschappelijke) waarde']",Het voedselbos grenst aan natuur,[833],Boomkwekerij 
Opgave: 07-jun-2024 – Linde bij: Voedselbos te Glimmen,Zandgrond,60-120 centimeter onder het maaiveld,0.80,2018,5,27500,20240607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Talrijk,,Schaars,,,,,,,,,,,,,,,,,,,,Talrijk,,,,,,,,,,,Zeldzaam,,Talrijk,,,,,,,,,,,,,Zeldzaam,,,,,,,,,,,Zeldzaam,,,,,,Zeldzaam,,,,,,,,Zeldzaam,,,,,,,,,,,,,,,Soort domineert (gehele plot wordt er door bedekt),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Schaars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zeldzaam,,,,,,,,Talrijk,,,,,,,,,,Zeldzaam,Zeldzaam,,,,,,,Schaars,,,,,,Talrijk,,,,,,,,,,Zeldzaam,,Zeldzaam,,,,"['Agrarisch', '(Archeologische of landschappelijke) waarde']",Het voedselbos grenst aan natuur,[831],Boomkwekerij 
Opgave: 29-mei-2024 – Pecan bij: Voedselbos te Glimmen,Zandgrond,60-120 centimeter onder het maaiveld,0.87,2018,1,27500,20240529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Schaars,,,,,,,,,,,,,,,,,,Talrijk,,,,,,,,,,,,,,,,,,,,,,Talrijk,,,,Zeldzaam,,,,,Zeldzaam,,,,,,,,,,,,Talrijk,,,,,,,,,,,,,,,,,Zeldzaam,,,,,,Talrijk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Schaars,,,,,,,,,,,,,,,,,,,,,,Talrijk,,,,Zeldzaam,,,,,,,,,,,,,Zeldzaam,,,,,,Talrijk,,,,,,,,,,,,,,,,,,,,,,,,,Talrijk,,,,,,,,,,Zeldzaam,,,,,,"['Agrarisch', '(Archeologische of landschappelijke) waarde']",Het voedselbos grenst aan natuur,[829],Boomkwekerij 
Opgave: 09-jun-2024 – nashipeer bij: Schrikkelbos,Zandgrond,60-120 centimeter onder het maaiveld,0.89,2017,2,6000,20240609,,,,,,,,,,Zeldzaam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Schaars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Schaars,,,,,,Schaars,,,,,,,Schaars,,,,,,Schaars,,,,Schaars,,Zeldzaam,,,Schaars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Schaars,,,,,,,,Zeldzaam,,Schaars,,,,,,,,,,Zeldzaam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zeldzaam,,,Schaars,,,,,,,,,,Zeldzaam,,,,,,,,,,,,,,,,,,,Zeldzaam,,,,,,,,,,,,,,,,,Zeldzaam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zeldzaam,Schaars,,,,Talrijk,,,,,,,,,,,,,,,,"['Agrarisch', 'Wonen']","0,5 kilometer",[928],Akkerbouw
Opgave: 08-jun-2024 – bij: Heurteloup,Kleigrond,60-120 centimeter onder het maaiveld,0.87,2024,-2,4000,20240608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Agrarisch'],Het voedselbos grenst aan natuur,[42207],Akkerbouw
Opgave: 06-jun-2024 – bij: Voedselbostuin Hof te Boekelo,Potzol,15 centimeter onder het maaiveld,0.64,2018,5,3300,20240606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Talrijk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zeldzaam,,,,,,,,,,Talrijk,,,,,,,,,,,,Schaars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Schaars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zeldzaam,,,,,,,,,,,,,,,,['Agrarisch'],Het voedselbos grenst aan natuur,[37489],Weiland
Opgave: 04-jun-2024 – bij: Voedselbostuin,Zandgrond,dieper,0.83,2019,5,200,20240604,,,,,,Talrijk,,,,,,,,,Zeldzaam,,Zeldzaam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zeldzaam,,,Zeldzaam,,,,,,,,,Schaars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zeldzaam,,Zeldzaam,,,Zeldzaam,Zeldzaam,,,,Schaars,,,,,,Zeldzaam,Talrijk,,,,,Zeldzaam,,,,,Schaars,,,Zeldzaam,,,,,,,,Schaars,,,Zeldzaam,,,,,,,,,,,Zeldzaam,,Schaars,,,,,,,,,,,,,,,,,,,,,,,Zeldzaam,,,,,,,,,,,,,,,,,Zeldzaam,,,,,,,,,,,,,,,,,,,,,,,,,,Zeldzaam,,Zeldzaam,,,Schaars,,,,,,,,,,Zeldzaam,,Zeldzaam,,,,,,Zeldzaam,,,,,,,,,,,,,,,,,,,,,,,Zeldzaam,,,,Talrijk,,,Schaars,,,,,,,,,,,,,,['Wonen'],Het voedselbos grenst aan natuur,[42152],Tuin
Opgave: 03-jun-2024 – bij: Voedselbos Rhenen-Elst,Zandgrond,dieper,0.90,2022,0.5,11000,20240603,,,Schaars,,,,,,,,,,,,,,,,,,,,,,,Soort domineert (gehele plot wordt er door bedekt),,,,,Soort domineert (gehele plot wordt er door bedekt),Zeldzaam,,,,,,,,,,,Zeldzaam,,,,,,,,,,,,,,,,,,,,Zeldzaam,,Schaars,,,,,,,,,,,,,,,,,,,,Schaars,Schaars,,,,,,,,,,,Schaars,,,,,Zeldzaam,,,,,,Zeldzaam,,,,,Schaars,,,,,,,,,,,,,Soort domineert (gehele plot wordt er door bedekt),,,,,,,,,,,,,,,Soort domineert (gehele plot wordt er door bedekt),Talrijk,,Zeldzaam,,Schaars,,,,,Schaars,,,,,,,,,,,,Schaars,,,,Soort domineert (gehele plot wordt er door bedekt),,,,,,,,,,,,,,,,,,,,,,Zeldzaam,,,,,,,,Zeldzaam,Zeldzaam,,,,Zeldzaam,,,,,,,Zeldzaam,,,,,Schaars,,,,,,,,,,,,,,,,,,,,,,,,,,,,Soort domineert (gehele plot wordt er door bedekt),Schaars,,Schaars,,,,,,,,,,,,,,,,,,Zeldzaam,,,,,,,,,,,,,,,,,,Talrijk,,,,,,,,,,,,,,Schaars,Zeldzaam,Talrijk,,Zeldzaam,,"['Agrarisch', 'Natuur', '(Archeologische of landschappelijke) waarde']",Het voedselbos grenst aan natuur,[38272],Akkerbouw
Opgave: 02-jun-2024 – bij: Het Oostbroek,Zandgrond,15-60 centimeter onder het maaiveld,0.92,2018,4,6000,20240602,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zeldzaam,,,,,,,,,,,,,,,,,,,,,,,,,,Zeldzaam,,,,,,,,,,,,Schaars,,,,,,,,,Talrijk,,,,Schaars,,,,,,,,,,,,,,,,,,Talrijk,,,Schaars,Talrijk,,,Talrijk,,,,,,,,,,,,,,Zeldzaam,,,,,,,,,,,,,Talrijk,,,,,Zeldzaam,,,,,Talrijk,,,,,,,,,Zeldzaam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Talrijk,,,,,,,,,Talrijk,,,,,,,,,,,,,,,Schaars,,,,,,,,,,,,Schaars,,,,Schaars,,,,,,,,,Zeldzaam,,,,,,,,,,,,,,,,,,,,,,Schaars,,,,,,,,,Talrijk,,,,,,,,,,Schaars,,,,,,['Agrarisch'],2 kilometer,[37482],Weiland
Opgave: 31-mei-2024 – bij: Anna&#8217;s Tuin &#038; Ruigte,Kleigrond,15-60 centimeter onder het maaiveld,0.92,2019,4,3000,20240531,,,,,,,,,,,,,,,,,,,Schaars,,,,,Schaars,,,,,,Talrijk,,,,Zeldzaam,,,,Zeldzaam,,,,,,,,,,,,Schaars,,,,,,,,,,,,,,,,,,,Schaars,,,Schaars,,,,,Schaars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zeldzaam,Schaars,,,Talrijk,,,,,,,,,,,,,Talrijk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Schaars,,,Zeldzaam,,,,,,,,,,,,,,,,,,,Talrijk,,,,,,Zeldzaam,,,,,,,,,,,,,,,Schaars,,,,,,,Schaars,,,,,,,,,,,,,,,,Schaars,,,,,,,,,,,,,,,,,,,,,,,,,,Talrijk,,,Zeldzaam,,,,,,,,,Zeldzaam,Talrijk,,,,,,,,,,,,,,,,,['Groen'],Het voedselbos grenst aan natuur,[37112],Weiland
Opgave: 30-mei-2024 – bij: Voedselbos De Driesingel,Zandgrond,dieper,0.87,2023,0.25,26.000,20240530,,Zeldzaam,,,,,,,,,,,,,,,,,,,,,Zeldzaam,,,,Talrijk,,,,,,,,,,,,,,,,,,,Schaars,,,Zeldzaam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Soort domineert (gehele plot wordt er door bedekt),,Zeldzaam,,,,,,,,,,,Schaars,,,,,,,,Soort domineert (gehele plot wordt er door bedekt),,,,,,,,,,,,,,,Soort domineert (gehele plot wordt er door bedekt),,,,,,,,,,,,,,,,,,Zeldzaam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zeldzaam,,,Schaars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Soort domineert (gehele plot wordt er door bedekt),,,,,,,,Zeldzaam,Zeldzaam,,,Zeldzaam,,,,Zeldzaam,,,,,,,,,,,,Talrijk,,,,,,,,,,,,,,,,,,,,,Schaars,,,,,,,,,,Talrijk,,,,Zeldzaam,,,,,,,,,,,,Soort domineert (gehele plot wordt er door bedekt),,Talrijk,,,,,,,"['Agrarisch', 'Bos', 'Recreatie']",Het voedselbos grenst aan natuur,[37021],Akkerbouw
Opgave: 30-mei-2024 – bij: Voedselbos De Driesingel,Zandgrond,dieper,0.84,2023,0.25,26.000,20240530,,,,,,,,,Soort domineert (gehele plot wordt er door bedekt),,,,,,,,,,,,,,Zeldzaam,,,,Schaars,,,,,,,,,,Zeldzaam,,,,,,,,,,,,Schaars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zeldzaam,,,,,,,,,,,,,,,,,,Soort domineert (gehele plot wordt er door bedekt),,,,,,,,,,,,,,,Talrijk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Schaars,,,,,,,,,,,,,,,,,,,,,,Schaars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zeldzaam,,,,,,,,,,,,,,Zeldzaam,,,,,,,,,,,,Schaars,,Zeldzaam,,,,,,,,,,,,,,,Talrijk,,,,,,,,,,,,,,Schaars,,,,Zeldzaam,Talrijk,,,,,,,,,,,Soort domineert (gehele plot wordt er door bedekt),,Talrijk,,,,,,,"['Agrarisch', 'Bos', 'Recreatie']",Het voedselbos grenst aan natuur,[37019],Akkerbouw
Opgave: 21-mei-2024 – bij: Buitenhuizer,Zandgrond,15 centimeter onder het maaiveld,0.81,2022,2,12000,20240521,,,,,,,,,,,,,,Talrijk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Soort domineert (gehele plot wordt er door bedekt),,,,,,,,,,,,,,,,,,,,Talrijk,,,,,,,,,,Soort domineert (gehele plot wordt er door bedekt),,,,,,,,,,Schaars,,,,,,,,,,,,,,,,Schaars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Soort domineert (gehele plot wordt er door bedekt),,,,,,,,,,,,,,,,,Schaars,,,,,,,,,,,,,Schaars,,,Talrijk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Agrarisch'],2 kilometer,[41867],Weiland
Opgave: 18-mei-2024 – bij: De Pelgrim VoedselBos &#038; BoerderHeij,Zandgrond,60-120 centimeter onder het maaiveld,0.63,2022,10,5000,20240518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Schaars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Soort domineert (gehele plot wordt er door bedekt),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Soort domineert (gehele plot wordt er door bedekt),,,,,,,,,,,,,,,,,,,,,,,,,,,Talrijk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Agrarisch'],"0,5 kilometer",[41919],Weiland
Opgave: 14-mei-2024 – bij: Gloriettes,Kleigrond,60-120 centimeter onder het maaiveld,0.94,2022,1,11000,20240514,,,,,,,,,,,,,,Talrijk,,,,,,,Talrijk,,,,,,,,,,,,,,Zeldzaam,,,,,,,,,,,,,Schaars,,,,,Talrijk,,,,,,,,,,,,,Schaars,,,,,,,,,,Schaars,,,,,,,,,,Schaars,,Talrijk,,,,,,,,,,,,,,,,,,,,,,,Talrijk,,,,,,,,,,,,Talrijk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Schaars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Talrijk,,Schaars,,,,Talrijk,,,,,,,,Schaars,,,,,,,Talrijk,Talrijk,Schaars,,,,,,,,,Schaars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Talrijk,,Zeldzaam,,Schaars,,,,,Talrijk,,,,,,,,,,,,,,,,['Agrarisch'],Het voedselbos grenst aan natuur,[41815],Weiland
Opgave: 12-mrt-2024 – bij: Voedselbos Joure (test),Zandgrond,15-60 centimeter onder het maaiveld,0.50,2024,2,10,20240312,Schaars,,Zeldzaam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Schaars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Agrarisch'],2 kilometer,[40492],Akkerbouw
Opgave: 31-mei-2023 – centrale plot bij: Le Village,leem,15 centimeter onder het maaiveld,0.95,2016,6,2500,20240515,,,,,,,,,,,,,Zeldzaam,,,,,,,,Soort domineert (gehele plot wordt er door bedekt),Schaars,,Schaars,,,,,,Schaars,,,,,,,,,,,,,Schaars,,,,,Talrijk,,,,,Schaars,,,,,,,,,,,,,,,,,,,,,,Talrijk,,,,Schaars,,,,,,,,,,,,,,,Talrijk,,,,,,,,,,,,,,,,,,,,,Talrijk,,,Schaars,,,,,,Talrijk,,,Talrijk,,,,,,,Zeldzaam,,,,Schaars,,,Soort domineert (gehele plot wordt er door bedekt),,Schaars,,,,,,,,,Schaars,,,Schaars,,,Talrijk,,,,,,,,,,,Schaars,Schaars,,,,,,Talrijk,,,,,,Schaars,,,Schaars,Talrijk,Talrijk,,,Talrijk,,Schaars,,Talrijk,,,,,,Schaars,,,,,,,,Talrijk,,,,,,,,,,,,,,,,,,,,,,Schaars,,Soort domineert (gehele plot wordt er door bedekt),,,,,,,,,Talrijk,,,,Schaars,,,,,Schaars,,,,,,,Talrijk,,,,,,Zeldzaam,,,,,,,,,Talrijk,Talrijk,,,,Zeldzaam,,,,,,,,Talrijk,Zeldzaam,,Zeldzaam,,,,,,,,,,,,,['Agrarisch'],"0,5 kilometer",[10717],Weiland
