titel,grondsoort,grondwaterstand,Biodiversiteitsindex,startjaar,leeftijd plot,oppervlak,Datum,Egelantier8,Fruitboom1,Fruitboom10,Fruitboom11,Fruitboom12,Fruitboom13,Fruitboom14,Fruitboom15,Fruitboom16,Fruitboom17,Fruitboom18,Fruitboom19,Fruitboom2,Fruitboom20,Fruitboom21,Fruitboom22,Fruitboom23,Fruitboom24,Fruitboom25,Fruitboom26,Fruitboom27,Fruitboom28,Fruitboom29,Fruitboom3,Fruitboom30,Fruitboom31,Fruitboom33,Fruitboom34,Fruitboom4,Fruitboom42,Fruitboom43,Fruitboom44,Fruitboom45,Fruitboom46,Fruitboom47,Fruitboom48,Fruitboom49,Fruitboom5,Fruitboom50,Fruitboom51,Fruitboom52,Fruitboom53,Fruitboom54,Fruitboom6,Fruitboom7,Fruitboom8,Fruitboom9,Grote struik11,Grote struik12,Grote struik13,Grote struik14,Grote struik15,Grote struik16,Grote struik18,Grote struik19,Grote struik2,Grote struik20,Grote struik21,Grote struik22,Grote struik23,Grote struik24,Grote struik25,Grote struik3,Grote struik4,Grote struik47,Grote struik5,Grote struik55,Grote struik6,Grote struik7,Grote struik8,Grote struik9,KgCO2/Ha,Naaldboom1,Naaldboom10,Naaldboom11,Naaldboom12,Naaldboom13,Naaldboom14,Naaldboom15,Naaldboom16,Naaldboom17,Naaldboom18,Naaldboom2,Naaldboom23,Naaldboom3,Naaldboom4,Naaldboom5,Naaldboom6,Naaldboom7,Naaldboom8,Naaldboom9,Notenboom1,Notenboom12,Notenboom14,Notenboom19,Notenboom2,Notenboom3,Notenboom32,Notenboom33,Notenboom34,Notenboom35,Notenboom36,Notenboom37,Notenboom38,Notenboom39,Notenboom4,Notenboom40,Notenboom41,Notenboom5,Notenboom9,Overig loofboom1,Overig loofboom10,Overig loofboom11,Overig loofboom12,Overig loofboom13,Overig loofboom14,Overig loofboom15,Overig loofboom16,Overig loofboom17,Overig loofboom18,Overig loofboom2,Overig loofboom24,Overig loofboom26,Overig loofboom27,Overig loofboom28,Overig loofboom29,Overig loofboom3,Overig loofboom30,Overig loofboom31,Overig loofboom32,Overig loofboom35,Overig loofboom36,Overig loofboom37,Overig loofboom38,Overig loofboom39,Overig loofboom40,Overig loofboom41,Overig loofboom42,Overig loofboom43,Overig loofboom45,Overig loofboom48,Overig loofboom5,Overig loofboom56,Overig loofboom57,Overig loofboom58,Overig loofboom59,Overig loofboom6,Overig loofboom7,Overig loofboom8,Overig loofboom9,Pionier/wijker1,Pionier/wijker10,Pionier/wijker11,Pionier/wijker12,Pionier/wijker13,Pionier/wijker14,Pionier/wijker15,Pionier/wijker16,Pionier/wijker17,Pionier/wijker18,Pionier/wijker19,Pionier/wijker2,Pionier/wijker20,Pionier/wijker21,Pionier/wijker22,Pionier/wijker23,Pionier/wijker24,Pionier/wijker25,Pionier/wijker26,Pionier/wijker3,Pionier/wijker4,Pionier/wijker5,Pionier/wijker6,Pionier/wijker7,Pionier/wijker8,Pionier/wijker9,bestemming,dichtsbijzijnde natuur,diverse jonge loofbomen4,gezamelijk jonge bessenstruiken3,plot,provincie,uitgangssituatie
,zand gemengd met keileemlagen,15-60 centimeter onder het maaiveld,,2015,5,1000,20200619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Beheersverordening Haren - Noord'],Het voedselbos grenst aan natuur,,,[888],Groningen,bramenveld omringd door bomen
,Zandgrond,15 centimeter onder het maaiveld,,2020,3,1000,20200619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['bestemming ecodorp'],"0,5 kilometer",,,[1102],Groningen,Weiland
,Kleigrond,60-120 centimeter onder het maaiveld,,2016,4,15.000,20200613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Natuur'],"0,5 kilometer",,,[1085],Gelderland,Weiland
,Zandgrond,dieper,,2017,10,13000,20200615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Agrarisch'],Het voedselbos grenst aan natuur,,,[1064],Gelderland,Akkerbouw
,Kleigrond,60-120 centimeter onder het maaiveld,,2016,4,15.000,20200613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Natuur'],"0,5 kilometer",,,[1054],Gelderland,Weiland
,Zandgrond,15-60 centimeter onder het maaiveld,,2019,10,2000,20200611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Wonen'],Het voedselbos grenst aan natuur,,,[1042],Noord-Holland,Tuin
,Zandgrond,dieper,,2017,1,22000,20200610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Agrarisch', 'Wonen']",Het voedselbos grenst aan natuur,,,[1029],Noord-Brabant,Weiland
,Zandgrond,dieper,,2018,1,5000,20200610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Agrarisch'],2 kilometer,,,[999],Overijssel,Weiland
,Zandgrond,60-120 centimeter onder het maaiveld,,2020,0,8800,20200609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Agrarisch'],2 kilometer,,,[1013],Noord-Brabant,Akkerbouw
,Zandgrond,60-120 centimeter onder het maaiveld,,2017,2,6000,20200608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Agrarisch', 'Wonen']","0,5 kilometer",,,[928],Noord-Brabant,Akkerbouw
